Year,GDP Growth USA(%),Annual Change
2021,5.95%,8.71%
2020,-2.77%,-5.06%
2019,2.29%,0.65%
2018,2.95%,0.70%
2017,2.24%,0.7%
2016,1.67%,-1.4%
2015,2.71%,0.42
2014,2.29%,0.45%
2013,1.84%,-0.44%
2012,2.28%,0.73%
2011,1.55%,-1.16%
2010,2.71%,5.31%
2009,-2.60%,-2.72%
2008,0.12%,-1.89%
2007,2.01%,-0.77%
2006,2.78%,-0.70%
2005,3.48%,-0.37%
2004,3.85%,1.06%
2003,2.80%,1.10%
2002,1.70%,0.74%
2001,0.95%,-3.12%
2000,4.08%,-0.72%
1999,4.79%,0.31%
1998,4.48%,0.03%
1997,4.45%,0.67%
1996,3.77%,1.09%
1995,2.68%,-1.34%
1994,4.03%,1.28%
1993,2.75%,-0.77%
1992,3.52%,3.63%
1991,-0.11%,-1.99%
1990,1.89%,-1.79%
1989,3.67%,-0.50%
1988,4.18%,0.72%
1987,3.46%,0.00%
1986,3.46%,-0.71%
1985,4.17%,-3.07%
1984,7.24%,2.65%
1983,4.58%,6.39%
1982,-1.80%,-4.34%
1981,2.54%,2.79%
1980,-0.26%,-3.42%
